Date,FTSE DIFF,10 Day Moving Av,50 Day Moving Av,2-Day NetPrice DIFF,GBP DIFF,Label Class
15/3/2010,15.600097,5714.0700195,5572.66000976,17.200196,-0.016172,1
16/3/2010,-16,5725.790039,5577.88801756,-2.699707,0.018258,0
17/3/2010,34.59961,5738.0600097,5583.36401366,-0.399903,0.008099,1
18/3/2010,28.700195,5752.7700195,5589.26401366,18.59961,-0.006425,1
19/3/2010,-81,5754.4,5593.61000976,63.299805,-0.023572,0
22/3/2010,-20.600098,5759.5100097,5597.3940039,-52.299805,0.009007,0
23/3/2010,-58.100097,5758.0799804,5599.93799804,-101.600098,-0.008669,0
24/3/2010,58.40039,5755.9600097,5604.43799804,-78.700195,-0.012242,1
25/3/2010,30.199707,5753.3100097,5610.04599608,0.300293000000003,-0.005397,1
26/3/2010,-150.399902,5737.4499999,5612.15199218,88.600097,0.005308,0
28/3/2010,14.299805,5721.4599609,5615.39999024,-120.200195,0.008393,1
29/3/2010,-64.5,5700.6199219,5618.04999024,-136.100097,0.009214,0
30/3/2010,-142.199707,5662.0999512,5619.56999024,-50.200195,0.010963,0
31/3/2010,-69.200196,5613.7899414,5620.34798828,-206.699707,0.01082,0
1/4/2010,-80.899902,5565.4899414,5620.36199218,-211.399903,-0.008187,0
4/4/2010,73.200195,5526.5699707,5621.50799804,-150.100098,0.008795,1
5/4/2010,49.299805,5498.3899902,5625.40799804,-7.699707,-0.002709,1
6/4/2010,50.200195,5469.3899902,5629.1340039,122.5,-0.002887,1
7/4/2010,-170.800293,5420.2899902,5628.72600584,99.5,0.0041,0
8/4/2010,-0.399902,5386.1899902,5628.91200194,-120.600098,0.008692,0
11/4/2010,-189.399902,5331.7200195,5627.5880078,-171.200195,0.000401,0
12/4/2010,-10.200196,5282.6800292,5626.61000974,-189.799804,0.000378,0
13/4/2010,6.700196,5248.5300292,5625.3620117,-199.600098,0.009446,1
14/4/2010,-128.899903,5208.4100585,5620.9460156,-3.5,-0.00067,0
15/4/2010,97.399903,5186.1200683,5618.85801756,-122.199707,-0.010146,1
18/4/2010,125.199707,5169.0300293,5618.77401366,-31.5,-0.002874,1
19/4/2010,-12,5145.8100098,5615.2980078,222.59961,0.002851,0
20/4/2010,59.90039,5123.5600098,5612.3580078,113.199707,0.004949,1
21/4/2010,-85.200195,5109.8700196,5607.83600584,47.90039,-0.003934,0
22/4/2010,-56.899902,5090.5300294,5602.91600584,-25.299805,0.000804,0
25/4/2010,63.399902,5096.4700196,5598.7080078,-142.100097,0.008589,1
26/4/2010,31.200195,5106.5500489,5593.86401366,6.5,-0.022028,1
27/4/2010,38.399903,5119.8000489,5588.22401366,94.600097,-0.004335,1
28/4/2010,15.699707,5147.5100099,5581.91600586,69.600098,0.015176,1
29/4/2010,20.100097,5167.4899903,5576.13,54.09961,-0.005592,1
2/5/2010,61.200196,5181.0700196,5570.11600586,35.799804,-0.005086,1
3/5/2010,-52.100098,5190.6400391,5562.2440039,81.300293,-0.012134,0
4/5/2010,-68.5,5187.3700196,5553.4680078,9.100098,-0.002992,0
5/5/2010,-78.299805,5184.7900391,5542.9580078,-120.600098,-0.023407,0
6/5/2010,-53.700195,5182.5300293,5532.01000976,-146.799805,-0.008086,0
9/5/2010,-129.600098,5160.9700195,5517.94000976,-132,0.007887,0
10/5/2010,-111.100097,5125.1799805,5501.0540039,-183.300293,0.005899,0
11/5/2010,32.300293,5088.7799805,5484.92600586,-240.700195,-0.008391,1
12/5/2010,-14.600098,5049.35,5467.9240039,-78.799804,-0.022311,0
13/5/2010,141.5,5022.0600098,5453.66600586,17.700195,-0.007585,1
16/5/2010,167.899902,5005.4399902,5441.77,126.899902,-0.005789,1
17/5/2010,34.100098,4997.4399902,5431.6640039,309.399902,-0.018342,1
18/5/2010,104,5006.6899902,5423.49200194,202,0.011996,1
19/5/2010,-17.5,5022.0199707,5413.6640039,138.100098,-0.006826,0
20/5/2010,-42.200195,5038.4999512,5402.28200196,86.5,0.013256,0
23/5/2010,-71.799805,5060.759961,5389.83,-59.700195,-0.007199,0
24/5/2010,75.100098,5101.6399903,5378.56799806,-114,0.000603,1
25/5/2010,99.199707,5149.209961,5369.60999026,3.300293,-0.00311,1
26/5/2010,-1.199707,5198.1199708,5359.93599612,174.299805,0.017655,0
27/5/2010,38.5,5236.7299806,5350.45799808,98,-0.010753,1
30/5/2010,-37.100098,5254.8399904,5341.85799808,37.300293,0.006905,0
31/5/2010,-56,5263.9399904,5332.55000004,1.399902,0.014505,0
1/6/2010,139.100098,5276.5500002,5327.1860059,-93.100098,-0.001698,1
2/6/2010,-0.600098,5290.8500002,5320.642002,83.100098,-0.001608,0
3/6/2010,-10.299805,5308.3400392,5313.28800786,138.5,-0.017603,0
6/6/2010,24.299805,5335.4400392,5309.42800786,-10.899903,0.001611,1
7/6/2010,-34.100098,5351.6200196,5304.6000098,14,-0.002509,0
8/6/2010,-131.199707,5344.7600586,5298.4380176,-9.800293,0.0099,0
9/6/2010,20.899903,5340.1100586,5295.5380176,-165.299805,0.016049,1
10/6/2010,9.299804,5332.540039,5294.2080176,-110.299804,-0.015646,1
13/6/2010,27.5,5331.4300292,5295.04601564,30.199707,0.018398,1
14/6/2010,-91.600097,5326.7600097,5292.58800784,36.799804,0.006391,0
15/6/2010,-16,5306.5799804,5288.82400394,-64.100097,-0.006391,0
16/6/2010,39.5,5290.4099609,5284.84599614,-107.600097,0.007991,1
17/6/2010,-78.799805,5267.3899414,5282.7079981,23.5,0.001406,0
20/6/2010,45.600098,5246.4999512,5281.49000006,-39.299805,-0.007004,1
21/6/2010,23.600097,5231.3799805,5284.532002,-33.199707,0.006015,1
22/6/2010,141.199707,5243.4999512,5290.602002,69.200195,0.014796,1
23/6/2010,4.600098,5253.9899414,5296.63000004,164.799804,-0.003598,1
24/6/2010,57.200195,5269.2699707,5306.38000004,145.799805,0.01359,1
27/6/2010,1.5,5281.95,5314.21200198,61.800293,0.003094,1
28/6/2010,64.5,5310.240039,5320.83000978,58.700195,-0.004546,1
29/6/2010,7.399903,5340.8700683,5327.83601564,66,-0.010911,1
30/6/2010,63.899902,5373.9400878,5334.92201174,71.899903,0.022143,1
1/7/2010,1.899902,5415.080078,5343.75000978,71.299805,0.00392,1
4/7/2010,-58.899902,5445.7700682,5352.53800782,65.799804,-0.007293,0
5/7/2010,94,5483.5000487,5361.93800782,-57,0.001191,1
6/7/2010,-26.299805,5504.480078,5370.18800782,35.100098,0.003448,0
7/7/2010,-24.300293,5522.5700682,5377.1840039,67.700195,-0.002346,0
8/7/2010,-4.799804,5534.4600585,5383.77000976,-50.600098,-0.0087,0
11/7/2010,31.299804,5549.3300292,5390.58000976,-29.100097,-0.004392,1
12/7/2010,-9.100097,5556.8399902,5395.9840039,26.5,0.016107,0
13/7/2010,-20.699707,5561.5399902,5402.01600586,22.199707,0.0083,0
14/7/2010,44.299804,5564.2799804,5410.3040039,-29.799804,0.017495,1
15/7/2010,-36.899902,5563.1399902,5419.42,23.600097,-0.013616,0
18/7/2010,106.100098,5578.5,5431.73200196,7.399902,-0.008133,1
19/7/2010,-4.5,5584.0100098,5446.54600588,69.200196,0.006168,0
20/7/2010,14.799804,5593.6299805,5463.87800782,101.600098,-0.01033,1
21/7/2010,-10.799804,5604.6000001,5480.34800782,10.299804,0.008812,0
22/7/2010,85.799804,5624.6299805,5498.82600586,4,0.016694,1
25/7/2010,-4.899902,5641.0399903,5514.37600586,75,0.005094,0
26/7/2010,-38.600098,5654.5,5525.79600586,80.899902,0.009803,0
27/7/2010,25,5672.5299804,5537.0340039,-43.5,0.000608,1
28/7/2010,29,5689.0299804,5546.77200194,-13.600098,0.001826,1
29/7/2010,-16.5,5707.5699706,5556.52999998,54,0.007568,0
1/8/2010,-95.399902,5705.9599608,5565.22400388,12.5,0.020192,0
2/8/2010,31.899902,5707.9899412,5575.99200192,-111.899902,0.005599,1
3/8/2010,-2.699707,5708.2699705,5585.20400386,-63.5,0,0
4/8/2010,19.399903,5711.5699705,5592.82000972,29.200195,-0.005398,1
5/8/2010,62.799804,5712.5699705,5601.7160058,16.700196,-5E-05,1
8/8/2010,118,5725.8599607,5612.20200188,82.199707,0.008658,1
9/8/2010,-25.399902,5740.4699705,5622.92200188,180.799804,-0.007192,0
10/8/2010,25.200195,5755.0999998,5635.26600578,92.600098,-0.004818,1
11/8/2010,-58.300293,5760.9999998,5643.66200186,-0.199707,-0.022509,0
12/8/2010,-1.699707,5768.3800291,5652.03600576,-33.100098,-0.004508,0
15/8/2010,-133.300293,5771.9700193,5657.9499999,-60,0.001532,0
16/8/2010,10.700196,5773.4400389,5663.59200186,-135,0.004296,1
17/8/2010,76.100097,5782.7900389,5671.43800772,-122.600097,-0.0068,1
18/8/2010,-35.90039,5786.6100096,5681.18999992,86.800293,0.00209,0
19/8/2010,-52,5778.9499999,5689.48399406,40.199707,-0.002187,0
22/8/2010,18.100097,5761.2999999,5697.95399406,-87.90039,-0.003196,1
23/8/2010,-30.199707,5743.1700194,5705.26999992,-33.899903,-0.00489,0
24/8/2010,-117.700195,5710.7499999,5712.06400382,-12.09961,-0.008526,0
25/8/2010,-22.700195,5681.8899902,5718.72400382,-147.899902,0.006128,0
26/8/2010,114.200195,5664.6199707,5726.87800772,-140.40039,0.004779,1
29/8/2010,127.799805,5673.459961,5739.16400382,91.5,0.001398,1
30/8/2010,38.200195,5685.0499512,5751.30200186,242,-0.006799,1
31/8/2010,-14,5687.6299317,5762.68799796,166,-0.011609,0
1/9/2010,13.5,5695.1499512,5771.51999992,24.200195,0.009817,1
2/9/2010,5,5708.3699707,5780.35999992,-0.5,-0.005209,1
5/9/2010,69.200195,5726.7,5789.43999992,18.5,0.0054,1
6/9/2010,-1.100097,5747.9399903,5798.46799798,74.200195,-0.005494,0
7/9/2010,-9.300293,5780.0199708,5806.01999018,68.100098,-0.004632,0
